tweet_text,cyberbullying_type
"You are such a wonderful person, hope you have a great day!",not_cyberbullying
"I really love learning about data science and machine learning.",not_cyberbullying
"Great performance by the team in yesterday's match!",not_cyberbullying
"Thanks for sharing this helpful article, I really appreciated it.",not_cyberbullying
"The weather today is so pleasant and calm.",not_cyberbullying
"Congratulations on your graduation! So proud of you.",not_cyberbullying
"Can someone help me debug this Python Flask code?",not_cyberbullying
"Had a nice cup of coffee this morning while reading a book.",not_cyberbullying
"Music has a way of healing the soul when you're feeling down.",not_cyberbullying
"Always remember to stay positive and keep working hard.",not_cyberbullying
"Girls are so stupid and useless, they should stay in the kitchen.",gender
"Women don't belong in tech, you're only hired because of diversity quotas.",gender
"She is such a fake person, no guy will ever love a dumb girl like her.",gender
"All women are emotional gold-diggers who ruin everything.",gender
"Shut up you dumb female, nobody cares about your opinion.",gender
"Go back to your country you worthless immigrant!",ethnicity
"Your race is inferior and lazy, nobody wants you here.",ethnicity
"Stop talking you dirty foreigner, you don't belong in our nation.",ethnicity
"All people of your ethnicity are criminals and thieves.",ethnicity
"Get out of our city, your kind is ruining our culture.",ethnicity
"Your religion is a joke and all of you are brainwashed fools.",religion
"You worship a fake god, you all deserve to suffer.",religion
"Your religious beliefs are disgusting and evil.",religion
"Nobody respects your faith, go away with your stupid prayers.",religion
"Your whole religious group is full of terrorists and extremists.",religion
"You are too old and useless, nobody cares about your boomer thoughts.",age
"Shut up old man, your generation ruined the economy and future.",age
"Look at this ancient dinosaur trying to use technology, so pathetic.",age
"Grandma step away from the internet, you're too old to understand.",age
"Nobody wants old people around here, just retire and vanish.",age
"You are so ugly and disgusting, nobody will ever like you.",other_cyberbullying
"Go kill yourself, the world would be much better without you.",other_cyberbullying
"You are a total loser, nobody likes you and everyone talks behind your back.",other_cyberbullying
"Posting your picture so everyone can laugh at how hideous you look.",other_cyberbullying
"You are trash and useless, stop existing.",other_cyberbullying
"We are going to make sure your life becomes a living nightmare.",other_cyberbullying
"You're a pathetic coward, hiding behind your keyboard.",other_cyberbullying
"Everyone hates you, just give up already.",other_cyberbullying
"What a loser, you can't even get a simple task right.",other_cyberbullying
"Stop posting your cringe videos, you look ridiculous.",other_cyberbullying
"Working on a new software engineering project today.",not_cyberbullying
"Healthy eating habits are essential for maintaining good wellness.",not_cyberbullying
"I am excited to start my internship at the new company next week.",not_cyberbullying
"Reading books helps improve critical thinking and vocabulary.",not_cyberbullying
"Exploring new recipes and cooking dinner with family tonight.",not_cyberbullying
"Let's collaborate on this open source GitHub repository.",not_cyberbullying
"The public library has an amazing collection of historic literature.",not_cyberbullying
"Regular exercise boosts your energy levels and mental health.",not_cyberbullying
"Learning to play the acoustic guitar has been a fun journey.",not_cyberbullying
"Attending a workshop on artificial intelligence and ethics.",not_cyberbullying
"Dumb blonde girls can't handle real engineering work.",gender
"She is just trying to get attention, typical dramatic female.",gender
"No woman knows how to drive properly, stay off the road.",gender
"Female gamers are garbage and shouldn't play competitive games.",gender
"Why do women think they can speak on serious political matters?",gender
"All immigrants are taking away our jobs, send them all back.",ethnicity
"Your ethnic group is dirty and lacks basic manners.",ethnicity
"Why don't you go back to where you came from, alien?",ethnicity
"People from your country are ignorant and uneducated.",ethnicity
"Look at that illegal alien trying to pretend they belong.",ethnicity
"Your church/mosque/temple should be shut down completely.",religion
"Faithful fools following fairy tales, you're all brainwashed.",religion
"Your religious people are toxic and spread hatred everywhere.",religion
"I despise your religion and everything it stands for.",religion
"Stop spreading your religious nonsense here, nobody wants it.",religion
"Boomers should be banned from making decisions for young people.",age
"You are way past your prime, stop trying to act young and relevant.",age
"Old people are a burden on society and waste our resources.",age
"Look at this boomer trying to understand memes, embarrassing.",age
"Your opinion is invalid because you're an old washed up loser.",age
"You are worthless and nobody in this world cares about you.",other_cyberbullying
"Do us all a favor and delete your account and disappear.",other_cyberbullying
"You deserve all the terrible things happening to you right now.",other_cyberbullying
"Everyone is laughing at your pathetic life.",other_cyberbullying
"You are a fraud, a liar, and a complete disgrace.",other_cyberbullying
"I hope bad things happen to you and your family.",other_cyberbullying
"You are disgusting inside and out, nobody wants you around.",other_cyberbullying
"Idiot, shut your mouth before someone makes you.",other_cyberbullying
"You're incompetent and embarrassing to look at.",other_cyberbullying
"Why are you so stupid? You ruin everything you touch.",other_cyberbullying
"Enjoying a sunny afternoon walk in the park.",not_cyberbullying
"Deep learning algorithms require proper GPU acceleration for large datasets.",not_cyberbullying
"Thank you for the warm welcome to the community forum!",not_cyberbullying
"Planning a weekend hiking trip with close friends.",not_cyberbullying
"Art and design add beauty and perspective to our daily lives.",not_cyberbullying
"Congratulations to the winners of the national science contest!",not_cyberbullying
